,user,item,buy_size,sex,height,weight,review,size,brightness,color,thickness
222,LV 3 발데르하임,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],34,남성, 183cm, 83kg,무신사 스탠다드 제품은 상의 위주로 구입했었는데 가을이 되면서  긴팔 상의도 구입하면서 슬랙스 하의도 시험삼아 구입해보았습니다  무탠다드 상의는 재질  사이즈 모든 면에서 만족스러워서 하의도 좋았으면 하는 기대로 신청했습니다  온라인에서 구입했던 하의들는 실제 입으면 실망스러운 경우가 많았는데 구입한 테이퍼드 크롭 슬랙스는 제 체형에 딱 맞아 떨어졌습니다  허리는 밴딩이니 너무 편했고 허리는 조금 여유가 있어서 살이 더 쪄도 충분이 입을수 있을 것 같습니다  크롭이라 발목에서 딱 떨어지는 깔끔함이 좋았고  재봉상태  옷의 재질  핏감  색감 모두 만족스러웠습니다  반신반의 했는데 기존 타 브랜드상품보다도 모든 면에서 좋아다고 생각합니다  슬랙스가 몇벌 더 필요했는데 무탠다드에서 편하게 구입할 수 있어서 다행이라 생각합니다  ,보통이에요,어두워요,선명해요,보통이에요
223,LV 4 멤버_95073fac70ae,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],28,남성, 179cm, 59kg,무신사에서 슬랙스만 벌써 세개째 마른체형의 아들 무신사슬랙스가 딱이네요 ,보통이에요,어두워요,선명해요,보통이에요
224,LV 2 뉴비_528ae9a4d5af,테이퍼드 히든 밴딩 크롭 슬랙스 [라이트 베이지],32,남성, 178cm, 74kg,예쁘고 깔끔합니다   두께감이 있어 겨울까지 입겠네요 품질 좋아보이고 기장도 딱이네요 다만 허리는 약간 커서 다음에는 한치수 줄여서 주문해야겠어요 ,보통이에요,보통이에요,선명해요,두꺼워요
225,LV 6 네룽이,테이퍼드 히든 밴딩 크롭 슬랙스 [라이트 베이지],32,남성, 175cm, 76kg,가을에서 초겨울까지 입을수있는 두께고라이트웨이트보단 빳빳해서찰랑찰랑한 느낌은 덜하고 정갈함,보통이에요,밝아요,선명해요,보통이에요
226,LV 3 신도림남친,테이퍼드 히든 밴딩 크롭 슬랙스 [미디엄 그레이],30,남성, 173cm, 69kg,출근복으로 좋아요 평소에 무난히 입을 수 있을거 같아요,보통이에요,보통이에요,보통이에요,보통이에요
227,LV 4 뉴비_58b5584a,테이퍼드 히든 밴딩 크롭 슬랙스 [차콜 그레이],32,여성, 164cm, 56kg,동생 선물 사줬는데 너무 만족해하네요  역시 믿을만합니다 ,보통이에요,보통이에요,보통이에요,보통이에요
228,LV 4 가방머사지,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],30,남성, 173cm, 70kg,적당히 막 입고 다니기 좋아용   좀만 헤져도 바로 살 예정,보통이에요,보통이에요,보통이에요,보통이에요
229,LV 4 밤하눌,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],32,남성, 180cm, 78kg,편하고 이뻐요 덕분에 좋운 하루 보냅니다 번창하세요,보통이에요,보통이에요,보통이에요,보통이에요
230,LV 5 뉴비_22441621,테이퍼드 히든 밴딩 크롭 슬랙스 [더스티 크림],32,남성, 188cm, 67kg,바지 탄탄하고 기장도 제 키에 적당하니 좋습니다다만 아랫도리 툭튀가 좀 있네요ㅠ,보통이에요,보통이에요,보통이에요,보통이에요
231,LV 3 뉴비_ff4deb09,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],34,남성, 171cm, 73kg,사이즈도 딱 좋고 허벅지가 굵은 분들은꼭 하나 있으면 좋아요,보통이에요,보통이에요,보통이에요,보통이에요
232,LV 3 Libertine,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],32,남성, 176cm, 72kg,떨어지는 라인이 아주 샤프합니다  국밥템이라 한개 더 사야할듯   ,보통이에요,보통이에요,보통이에요,보통이에요
233,LV 3 이나스요,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],30,남성, 173cm, 65kg,셋업으로도 굿  데일리로도 입기 좋아요 재질이 진짜 짱 좋음 ,보통이에요,보통이에요,선명해요,보통이에요
234,LV 5 돼보,테이퍼드 히든 밴딩 크롭 슬랙스 [미디엄 그레이],34,남성, 171cm, 80kg,평소 32입어서 32맞겠지하고 시켰는데왠걸 너무 꽉껴서 겨우 들어가는정도여서 바로 두사이즈 업으로 교환했습니다  교환이 너무 오래걸렸긴했지만소재 사이즈 모두 만족합니다 무탠다드 짱,작아요,보통이에요,보통이에요,보통이에요
235,LV 4 최감독이,테이퍼드 히든 밴딩 크롭 슬랙스 [그레이],31,남성, 173cm, 72kg,무신사 스탠다드는 그냥 무난하게 하나씩은 들고 있는게 좋아요   ,보통이에요,보통이에요,보통이에요,보통이에요
236,LV 4 뉴비_7accf6611271,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],33,남성, 168cm, 65kg,편하고 재질도 좋고 마음에 들어요 출근할때 자주 입음,보통이에요,보통이에요,보통이에요,보통이에요
237,LV 8 엄지플립4축하,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],32,남성, 175cm, 75kg,회사갈때나 평소에잘입음세일해서좋음1 2년에한번씩 삼,보통이에요,보통이에요,보통이에요,보통이에요
238,LV 3 디피케,테이퍼드 히든 밴딩 크롭 슬랙스 [차콜 그레이],30,남성, 165cm, 65kg,기본 슬랙스 픽하는 템소재좋고 재질도좋고편하게 입기좋은 기본템,보통이에요,보통이에요,보통이에요,보통이에요
239,LV 3 디피케,테이퍼드 히든 밴딩 크롭 슬랙스 [미디엄 그레이],31,남성, 165cm, 65kg,짱짱한 소재에 재질도 좋고데일리로 꾸안꾸 입기좋은 기본템강추,보통이에요,보통이에요,보통이에요,보통이에요
240,LV 3 디피케,테이퍼드 히든 밴딩 크롭 슬랙스 [라이트 베이지],31,남성, 165cm, 65kg,핏감 좋아요 재질도 좋고데일리로 꾸안꾸 입기좋은 기본템추천합니당 ㅎㅎ,보통이에요,보통이에요,보통이에요,보통이에요
241,LV 6 악부,테이퍼드 히든 밴딩 크롭 슬랙스 [차콜 그레이],34,남성, 185cm, 81kg,무탠다드 슬랙스는 믿고 구매해요 셋업정장이 필요해서 불레이저랑 같이 주문했는데 찰떡이에요 색감도 제가 딱 원하던 색상이고 핏감도 잘 맞게 떨어져요 잘입을게요,보통이에요,보통이에요,보통이에요,보통이에요
242,LV 5 ㅇㅇㄲㅃ,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],27,남성, 168cm, 60kg,편하고 옷도 이쁘고 너무 좋습니다   살이 쪘는지 작아졌네요 ,작아요,보통이에요,보통이에요,보통이에요
243,LV 3 서스타7,테이퍼드 히든 밴딩 크롭 슬랙스 [라이트 베이지],33,남성, 175cm, 75kg,매번 사는 슬랙스  여름이에는 덥위 못입지만 가을부터 열심히 입어야쥬,보통이에요,보통이에요,보통이에요,보통이에요
244,LV 5 마늘통닭,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],29,남성, 168cm, 68kg,168에 68인데 사이즈딱좋습니다 핏도 예술이에요,보통이에요,보통이에요,보통이에요,보통이에요
245,LV 5 뉴비_316c9942,테이퍼드 히든 밴딩 크롭 슬랙스 [라이트 베이지],38,남성, 184cm, 94kg,가격대비 최상의 상품입니다 디자인도 이쁘고 핏도 이뻐요,보통이에요,보통이에요,보통이에요,보통이에요
246,LV 4 태라2,테이퍼드 히든 밴딩 크롭 슬랙스 [라이트 베이지],27,남성, 174cm, 58kg,무탠다드 슬렉스 가성비 좋게 입기 좋아용  색감도 이쁘네요,보통이에요,보통이에요,보통이에요,보통이에요
247,LV 6 ArsenQ7,테이퍼드 히든 밴딩 크롭 슬랙스 [머스터드],28,남성, 172cm, 60kg,아 ㅋ ㅋ ㅋ ㅋ 어려운 컬러여도 테이퍼드 핏인줄 알고 샀는데 끼니끼니진이네요ㅎㅎ  허리 28인데 허벅지 30이라 스키니핏 못 입는데 바아로 장롱행 ㅂㅂ,보통이에요,보통이에요,보통이에요,보통이에요
248,LV 4 냥냥한냥냥,테이퍼드 히든 밴딩 크롭 슬랙스 [브라운],33,남성, 170cm, 70kg,다가오는 가을을 맞이하여 기본 아이템을 충족시키기 위해 구매했어요  가성비 좋음  너무 좋다 ,보통이에요,보통이에요,보통이에요,보통이에요
249,LV 3 베커엄,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],32,남성, 187cm, 80kg,33살껄 그랬네요 허벅지 쪽이 조금 얇게 나온거같아요,보통이에요,보통이에요,보통이에요,보통이에요
250,LV 3 한대피플,테이퍼드 히든 밴딩 크롭 슬랙스 [더스티 베이지],30,남성, 173cm, 68kg,핏도 저한테 찰떡이구 색감도 이쁘구 다른것도 사력구요,보통이에요,보통이에요,보통이에요,보통이에요
251,LV 3 뉴비_ff4deb09,테이퍼드 히든 밴딩 크롭 슬랙스 [라이트 베이지],34,남성, 171cm, 73kg,다른 옷이랑 입기 좋아요그리고 너무 편해서 입기 좋아요,보통이에요,보통이에요,보통이에요,보통이에요
252,LV 4 깡찬18,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],33,남성, 174cm, 75kg,너무 만족스럽습니다  가볍게 자주 입을 수 있을 것 같아요,작아요,보통이에요,보통이에요,보통이에요
253,LV 4 동원참취,테이퍼드 히든 밴딩 크롭 슬랙스 [라이트 베이지],34,남성, 172cm, 78kg,색이아주이쁘고핏도너무마음에듭니다 역시무탠다드,보통이에요,보통이에요,보통이에요,보통이에요
254,LV 5 좋은날ㅆ,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],30,남성, 170cm, 62kg,잘 입고있어요사이즈나 핏 변동 없으면 평생입고 싶은 슬랙스,보통이에요,보통이에요,보통이에요,보통이에요
255,LV 5 뉴비_316c9942,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],38,남성, 184cm, 94kg,한사이즈 업해서 주문하니 딱 좋네요대신 허리는 커서 허리띠는 필수입니다,보통이에요,보통이에요,보통이에요,보통이에요
256,LV 5 뉴비_316c9942,테이퍼드 히든 밴딩 크롭 슬랙스 [화이트],38,남성, 184cm, 94kg,한사이즈 업해서 주문하니 딱 좋네요대신 허리는 커서 허리띠는 필수입니다,보통이에요,보통이에요,보통이에요,보통이에요
257,LV 6 BLUE_BLUW,테이퍼드 히든 밴딩 크롭 슬랙스 [미디엄 그레이],30,남성, 173cm, 67kg,손가락 미끄러지면서  결제하기  고민할 거 없이 그냥 결제했어요  가성비  가심비 둘 다 챙겨갈게요  감사합니다  ,보통이에요,보통이에요,보통이에요,보통이에요
258,LV 3 영재입니다.,테이퍼드 히든 밴딩 크롭 슬랙스 [미디엄 그레이],32,남성, 174cm, 70kg,청바지는 31을해도 커서 걱정이었는데 32하니까 사이즈 딱좋네요 ,보통이에요,보통이에요,보통이에요,보통이에요
259,LV 6 Cwjcwj,테이퍼드 히든 밴딩 크롭 슬랙스 [라이트 베이지],31,남성, 172cm, 67kg,원단도좋고편하고무엇보다도 활동범용성최고임다,보통이에요,보통이에요,보통이에요,보통이에요
260,LV 3 영재입니다.,테이퍼드 히든 밴딩 크롭 슬랙스 [더스티 베이지],32,남성, 174cm, 70kg,믿고사는 무탠다드  너무만족해요  사이즈 두께감 모든게 딱이에요,보통이에요,보통이에요,보통이에요,보통이에요
261,LV 3 토르삼촌,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],33,남성, 174cm, 73kg,허벅지랑 엉덩이 큰 편인데 불편하지 않고 딱 맞네요 ,보통이에요,보통이에요,보통이에요,보통이에요
262,LV 5 비앙키이,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],31,남성, 168cm, 68kg,하벅지가 약간 끼는데 가성비가 너무 좋아서 만족합니다,작아요,보통이에요,보통이에요,보통이에요
263,LV 4 조쿠나조아0226,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],31,남성, 173cm, 70kg,가격 대비로 진짜 좋은 것 같습니다 앞으로도 계속 살 듯 합니다 ,보통이에요,보통이에요,보통이에요,보통이에요
264,LV 4 푹쉬라,테이퍼드 히든 밴딩 크롭 슬랙스 [라이트 그레이],32,남성, 174cm, 77kg,색깔부터 핏까지 늘 만족스럽게 입고 있습니다  번창하면 좋겠어요,보통이에요,보통이에요,보통이에요,보통이에요
265,LV 7 방실방실해,테이퍼드 히든 밴딩 크롭 슬랙스 [라이트 브라운],32,남성, 181cm, 72kg,핏이일단 너무좋고 사이즈가 딱맞아 맘에드네요,보통이에요,보통이에요,보통이에요,보통이에요
266,LV 5 규쟝,테이퍼드 히든 밴딩 크롭 슬랙스 [라이트 베이지],32,남성, 177cm, 78kg,핏이 이뻐요  기장 수선 할 필요 없이 딱 이쁜 기장이네요,보통이에요,보통이에요,보통이에요,보통이에요
267,LV 3 디피케,테이퍼드 히든 밴딩 크롭 슬랙스 [다크 그레이],31,남성, 165cm, 65kg,아주편합니다타이트하지않게 좋네요소재도 좋고 마감도 좋아요 자주입게되요,보통이에요,보통이에요,보통이에요,보통이에요
268,LV 3 디피케,테이퍼드 히든 밴딩 크롭 슬랙스 [화이트],31,남성, 165cm, 65kg,편합니다   타이트하지않게 체형을 잘 잡아주네요소재도 좋고 마감도 괜찮은편입니다,보통이에요,보통이에요,보통이에요,보통이에요
269,LV 3 뉴비_17956e96bb71,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],30,남성, 175cm, 70kg,길이도마음에들고두께도마음에들어요다들사세요,보통이에요,보통이에요,보통이에요,보통이에요
270,LV 3 어쩌다 스물다섯,테이퍼드 히든 밴딩 크롭 슬랙스 [미디엄 그레이],30,남성, 173cm, 67kg,색감도 좋고 셔츠랑 매치하면 댄디한 느낌 잘 살릴 수 있을거 같네요,보통이에요,보통이에요,선명해요,보통이에요
271,LV 4 토베기,테이퍼드 히든 밴딩 크롭 슬랙스 [라이트 베이지],32,남성, 175cm, 66kg,진짜 바지는 가성비랑 핏 무텐다드 따라갈데가 없을꺼 같아요  정말 이뻐요 ,보통이에요,보통이에요,보통이에요,보통이에요
272,LV 4 패션왕욱이,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],29,남성, 172cm, 63kg,무탠다드는 실패가 없습니다 감사합니다 잘입을게요 ,보통이에요,보통이에요,보통이에요,보통이에요
273,LV 7 따뜻한_아아,테이퍼드 히든 밴딩 크롭 슬랙스 [더스티 크림],32,남성, 179cm, 79kg,179 79사이즈 잘 맞고 색은 밝지도 어둡지도 않은 생각한 색이에요 ,보통이에요,보통이에요,보통이에요,보통이에요
274,LV 4 패션왕욱이,테이퍼드 히든 밴딩 크롭 슬랙스 [라이트 베이지],29,남성, 172cm, 63kg,무탠다드는 실패가 없습니다 감사합니다 잘입을게요 ,보통이에요,보통이에요,보통이에요,보통이에요
275,LV 4 뉴비_edb5db96,테이퍼드 히든 밴딩 크롭 슬랙스 [라이트 그레이],34,남성, 178cm, 77kg,바지 핏이 너무 좋습니다  믿고 사는 무신사 스탠다드 ,보통이에요,보통이에요,보통이에요,보통이에요
276,LV 4 뉴비_edb5db96,테이퍼드 히든 밴딩 크롭 슬랙스 [라이트 베이지],34,남성, 178cm, 77kg,바지 색깔이 넘 이쁘네요  이번 가을은 이 바지로 보내려고요 ,보통이에요,보통이에요,보통이에요,보통이에요
277,LV 3 오종근이여,테이퍼드 히든 밴딩 크롭 슬랙스 [크림],28,남성, 178cm, 58kg,크림슬랙스에 블레이저 코디 하려고 샀는데 너무 이뻐요 ,보통이에요,밝아요,보통이에요,보통이에요
278,LV 2 뉴비_118ba431c91e,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],29,남성, 170cm, 57kg,기장감이 조금 길어서 수선했더니 핏이 딱 이브네요,보통이에요,보통이에요,보통이에요,보통이에요
279,LV 5 뉴비_316c9942,테이퍼드 히든 밴딩 크롭 슬랙스 [더스티 베이지],38,남성, 184cm, 94kg,한사이즈 업해서 주문하니 딱 좋네요대신 허리는 커서 허리띠는 필수입니다,보통이에요,보통이에요,보통이에요,보통이에요
280,LV 3 어쩌다 스물다섯,테이퍼드 히든 밴딩 크롭 슬랙스 [미디엄 그레이],30,남성, 173cm, 67kg,색감도 좋고 셔츠랑 매치하면 댄디한 느낌 잘 살릴 수 있을거 같네요,보통이에요,보통이에요,선명해요,보통이에요
281,LV 4 토베기,테이퍼드 히든 밴딩 크롭 슬랙스 [라이트 베이지],32,남성, 175cm, 66kg,진짜 바지는 가성비랑 핏 무텐다드 따라갈데가 없을꺼 같아요  정말 이뻐요 ,보통이에요,보통이에요,보통이에요,보통이에요
282,LV 5 EIS23,테이퍼드 히든 밴딩 크롭 슬랙스 [크림],36,남성, 177cm, 82kg,아이보리 색감 좋고 가을에 입기 딱 좋을듯해요 사이즈 좋아요,보통이에요,보통이에요,보통이에요,두꺼워요
283,LV 5 EIS23,테이퍼드 히든 밴딩 크롭 슬랙스 [라이트 브라운],36,남성, 177cm, 82kg,34가 엉덩이부분이 작아서 36으로 업했어요 허리는 수선해야할듯하네요,보통이에요,보통이에요,보통이에요,두꺼워요
284,LV 3 나는야보겸,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],28,남성, 168cm, 56kg,핏 잘나오고 딱 좋아요 여름에 입기에는 좀 두꺼운거 같고 ,보통이에요,보통이에요,보통이에요,보통이에요
285,LV 3 1우기,테이퍼드 히든 밴딩 크롭 슬랙스 [라이트 베이지],30,남성, 174cm, 65kg,색상 길이 너무 마음에 듭니다블레이저랑 세트로 샀는데 딱입니다 강추,보통이에요,보통이에요,보통이에요,보통이에요
286,LV 2 눈빛준,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],29,여성, 158cm, 53kg,평소 입는 사이즈대로 29 주문했는데배쪽이 앉았을때 불편하네요 기장과 핏 맘에 들어요두께는 여름 제외하고 3계절 넉넉히입을수 있어요다만 뱃살이 있으신 분들은 한사이즈크게 사시길 추천합니다 ,작아요,보통이에요,보통이에요,보통이에요
287,LV 3 마마마마마마,테이퍼드 히든 밴딩 크롭 슬랙스 [라이트 베이지],32,남성, 174cm, 67kg,옷이 너무 이쁘고 색깔도 좋고 편하게입기에 좋아요,보통이에요,보통이에요,보통이에요,보통이에요
288,LV 3 뉴비_791ae8be,테이퍼드 히든 밴딩 크롭 슬랙스 [베이지],32,남성, 170cm, 60kg,무난하게 좋습니다  굿  색깔별로 사도 무난한듯함 ,보통이에요,보통이에요,보통이에요,보통이에요
289,LV 5 구글몬느,테이퍼드 히든 밴딩 크롭 슬랙스 [미디엄 그레이],33,남성, 177cm, 81kg,사이즈딱좋고 밴딩 너무좋고 색감이젤맘에듭니다,보통이에요,보통이에요,선명해요,보통이에요
290,LV 4 Maminu,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],31,남성, 173cm, 73kg,사이즈 진짜 딱맞고 길이도 딱맞고 가격오르기전에 잘샀어요,보통이에요,보통이에요,보통이에요,보통이에요
291,LV 3 뉴비_8d39d0ced10b,테이퍼드 히든 밴딩 크롭 슬랙스 [라이트 베이지],32,남성, 182cm, 73kg,지금 날씨에 딱 입기 좋은 정도입니다  색감도 밝고 좋네요 ,보통이에요,밝아요,선명해요,보통이에요
292,LV 5 박스줍는노인,테이퍼드 히든 밴딩 크롭 슬랙스 [더스티 베이지],30,남성, 170cm, 67kg,색도 너무 진하고 원하는 색상이었고 입었을때 살짝 작은 느낌이지만 핏감이 좋네요,작아요,보통이에요,보통이에요,보통이에요
293,LV 6 슈퍼정자,테이퍼드 히든 밴딩 크롭 슬랙스 [라이트 베이지],34,남성, 182cm, 80kg,예전 34보다 허리사이즈가 조금 커진거 같아요,보통이에요,보통이에요,보통이에요,보통이에요
294,LV 4 뉴비_5369d32a,테이퍼드 히든 밴딩 크롭 슬랙스 [미디엄 그레이],30,남성, 175cm, 70kg,믿고사는 무신사 스탠다드 제품 받아보고 퀄리티가 너무 좋아서 놀랐어요  핏도 딱 맞아떨어지고 자주 입을거 같아요,보통이에요,어두워요,선명해요,보통이에요
295,LV 3 한잔해윤,테이퍼드 히든 밴딩 크롭 슬랙스 [미디엄 그레이],38,남성, 175cm, 90kg,가까이서보면 조금 인위적인거같은 재질감이 블랙제품보다 있긴한데 블랙보다 재밌어서 자주 입게됩니다,보통이에요,보통이에요,보통이에요,보통이에요
296,LV 3 1등하는그날까,테이퍼드 히든 밴딩 크롭 슬랙스 [미디엄 그레이],32,남성, 170cm, 65kg,미디엄 그레이 어두운 계열하고 입기에 잘어울림,보통이에요,보통이에요,보통이에요,보통이에요
297,LV 4 김동준12345,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],29,남성, 170cm, 60kg,바지 핏이 ㅈㄹ 예뻐요 허리가 좀 헐렁한데 그거 빠곤 다 맞는듯,보통이에요,보통이에요,보통이에요,보통이에요
298,LV 3 1등하는그날까,테이퍼드 히든 밴딩 크롭 슬랙스 [차콜 그레이],32,남성, 170cm, 65kg,차콜 그레이 남자답게 주는 인상이 패션에 좋아요,보통이에요,보통이에요,보통이에요,보통이에요
299,LV 3 1등하는그날까,테이퍼드 히든 밴딩 크롭 슬랙스 [핑크 베이지],32,남성, 170cm, 65kg,핑크 베이지 하나 색깔이쁘고 바지 편안해서 좋아요,보통이에요,보통이에요,보통이에요,보통이에요
300,LV 7 옷사요11,테이퍼드 히든 밴딩 크롭 슬랙스 [차콜 그레이],33,남성, 177cm, 73kg,기본템으로 무탠다드 항상좋아요 가격대비 품질최상  ,보통이에요,보통이에요,보통이에요,보통이에요
301,LV 3 로버트스미스,테이퍼드 히든 밴딩 크롭 슬랙스 [차콜 그레이],28,남성, 172cm, 57kg,좀 타이트하게 사긴했는데 저한테는 괜찮은것같습니다,보통이에요,보통이에요,보통이에요,보통이에요
302,LV 4 positivemind,테이퍼드 히든 밴딩 크롭 슬랙스 [라이트 그레이],28,남성, 168cm, 58kg,이뻐요 그냥 검정티에 입어도 이쁨 자주 입을듯해요,보통이에요,보통이에요,보통이에요,보통이에요
303,LV 3 와우요우오,테이퍼드 히든 밴딩 크롭 슬랙스 [미디엄 그레이],31,남성, 171cm, 67kg,정사이즈보다 1업했는데 딱좋아요슬림한 실루엣입니다,보통이에요,보통이에요,보통이에요,보통이에요
304,LV 4 뉴비_d56504ea,테이퍼드 히든 밴딩 크롭 슬랙스 [네이비],31,남성, 175cm, 68kg,기장살짝줄였고 핏감 너무예뻐요 역시무탠다드,보통이에요,보통이에요,보통이에요,보통이에요
305,LV 4 동동쓰스,테이퍼드 히든 밴딩 크롭 슬랙스 [더스티 베이지],30,남성, 168cm, 65kg,사이즈잘맞고색감예뻐서잘입을게요좋네요굿,보통이에요,보통이에요,보통이에요,보통이에요
306,LV 3 1등하는그날까,테이퍼드 히든 밴딩 크롭 슬랙스 [다크 그레이],32,남성, 170cm, 65kg,스타일 좀 꾸며보려고 슬랙스 찾다가 이거구매했는데 좋습니다,보통이에요,보통이에요,보통이에요,보통이에요
307,LV 3 1등하는그날까,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],32,남성, 170cm, 65kg,블랙 깔맞춤하려고 슬랙스 유명하다는 무탠다드 샀는데 좋네요,보통이에요,보통이에요,보통이에요,보통이에요
308,LV 3 웅이랑,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],28,남성, 170cm, 64kg,살짝 두께감있는 깔끔한 기본 슬랙스 이쁘게 잘 입겠습니다   ,보통이에요,보통이에요,보통이에요,두꺼워요
309,LV 7 aabbddc,테이퍼드 히든 밴딩 크롭 슬랙스 [라이트 그레이],30,남성, 180cm, 70kg,재질도 괜찮고 핏도 이쁘네요 배송도 빨라서 좋았어요 맘에 드네요,보통이에요,보통이에요,보통이에요,보통이에요
310,LV 3 허성재,테이퍼드 히든 밴딩 크롭 슬랙스 [미디엄 그레이],33,남성, 182cm, 81kg,기장감 적당하고 블레이저랑 매치하기 좋습니다 ,보통이에요,보통이에요,보통이에요,보통이에요
311,LV 5 매일이쁘게입자,테이퍼드 히든 밴딩 크롭 슬랙스 [핑크 베이지],28,남성, 165cm, 58kg,핑크 베이지라도 실제 색상은 다양하게 잘 어울릴듯 하고요 정말 저렴한 가격에 잘 샀네요 편안한 핏감 넘 좋고 그레이나 브라운 섞인 흰색 스니커즈류에 잘 어울릴듯해용 ,보통이에요,보통이에요,선명해요,얇아요
312,LV 5 매일이쁘게입자,테이퍼드 히든 밴딩 크롭 슬랙스 [브릭],28,남성, 165cm, 58kg,진한 갈색이라고 보심 되고 실제 색상은 사진 보다 좀더밝은 밤색 느낌입니다 착용감 좋고 가성비 좋네요  이쁘게 잘 입을게요,보통이에요,어두워요,선명해요,얇아요
313,LV 5 매일이쁘게입자,테이퍼드 히든 밴딩 크롭 슬랙스 [라이트 브라운],28,남성, 165cm, 58kg,컬러감 예쁘고용 다양한곳에 잘 활용 할거 같아요  사이즈도 저에게 잘 맞고 핏이 좋네용  ,보통이에요,보통이에요,선명해요,얇아요
314,LV 4 코코라옹,테이퍼드 히든 밴딩 크롭 슬랙스 [라이트 베이지],31,남성, 176cm, 70kg,176  69 70입니다 넣입해봣는데 허리 딱  맞아요 크롭이라 길이도 딱맞아서 수선 안합니당  참고하세요 ,보통이에요,보통이에요,선명해요,보통이에요
315,LV 5 매일이쁘게입자,테이퍼드 히든 밴딩 크롭 슬랙스 [더스티 블루],28,남성, 165cm, 58kg,허리 밴딩 정말 편하고요 밥 많이 먹은날도 안불편할듯색상 이쁘고 화이트 상의에 잘 어울려요 살짝 청바지 색상 같은 느낌이라고 보시면 됩니다 착한 가격도 굿,보통이에요,보통이에요,선명해요,얇아요
316,LV 5 포돌엽상,테이퍼드 히든 밴딩 크롭 슬랙스 [다크 그레이],31,남성, 168cm, 63kg,지금날씨에 입기 딱 좋고 신축성도 좋아서 코디하기 딱 좋네요,보통이에요,밝아요,보통이에요,보통이에요
317,LV 3 뉴비_1ecab5ad,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],30,남성, 173cm, 63kg,슬림하게 떨어져서 이쁘게 입고 다닐 수 있습니다 ,보통이에요,보통이에요,보통이에요,보통이에요
318,LV 5 최용녀,테이퍼드 히든 밴딩 크롭 슬랙스 [라이트 베이지],28,남성, 175cm, 60kg,데일리로 편하게 입기 좋습니다  정사이즈입니다 ,보통이에요,보통이에요,보통이에요,보통이에요
319,LV 3 Kyeong서,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],31,남성, 174cm, 72kg,32는 너무 커서 31로 했는데 그나마 괜찮은거 같아요,보통이에요,보통이에요,보통이에요,보통이에요
320,LV 4 뉴비_1a28199806f1,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],33,남성, 173cm, 80kg,봄가을에 입을수 있을 정도의 두께구요  테이퍼드라 허벅지가 여유가 있네요  ,보통이에요,보통이에요,보통이에요,보통이에요
321,LV 3 bousou,테이퍼드 히든 밴딩 크롭 슬랙스 [라이트 베이지],33,남성, 179cm, 77kg,무탠다드 셋업만 벌써 3번째네요   핏이나 질감 등 가격대비 항상 만족합니다 ,보통이에요,보통이에요,보통이에요,보통이에요
322,LV 3 dbvip,테이퍼드 히든 밴딩 크롭 슬랙스 [라이트 베이지],29,남성, 160cm, 60kg,허리 딱 맞고 기장도 얼추 맞는 것 같습니다   1   줄일지 고민중  일단 핏이 너무 좋습니다  테이퍼드 핏이라 땃 얇은 핏이 나오네요 색감도 이쁩니다 ,보통이에요,밝아요,선명해요,얇아요
323,LV 3 팡이당,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],33,남성, 183cm, 74kg,셋업으로 입으려고 세트로 사서 맘에 들어 바지만 따로 하나더 주문 했습니다 강추    ,보통이에요,보통이에요,보통이에요,보통이에요
324,LV 5 Pisik,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],32,남성, 180cm, 78kg,교복처럼 입고 다니다가 해마다 새 걸로 갈아줘요 언제나 굳,보통이에요,어두워요,보통이에요,보통이에요
